KEY,Korean,English,English_for_Translate,Japanese,ChineseSimplified,ChineseTraditional,Spanish_Google,Spanish,
UNIT_007_NAME,공성 전차,Siege Tank,Siege Tank,攻城戦車,攻城坦克,攻城坦克,tanque de asedio,tanque de asedio,
UNIT_008_NAME,코브라,Cobra,Cobra,コブラ,眼镜蛇,眼鏡蛇,Cobra,Cobra,
UNIT_009_NAME,워보이,War boy,War boy,ウォボイ,战争男孩,戰爭男孩,niño de la guerra,niño de la guerra,
UNIT_010_NAME,골리앗,Goliath,Goliath,ゴリアテ,巨人,巨人,Goliat,Goliat,
UNIT_011_NAME,랩터,Raptor,Raptor,ラプター,猛禽,猛禽,Raptor,Raptor,
UNIT_012_NAME,미니언,Minion,Minion,手先,奴才,奴才,Esbirro,Esbirro,
UNIT_013_NAME,미사일 조무사,Missile Assistant,Missile Assistant,ミサイル助手,导弹助理,導彈助理,Asistente de misiles,Asistente de misiles,
UNIT_014_NAME,UFO,UFO,UFO,UFO,飞碟,飛碟,OVNI,OVNI,
UNIT_015_NAME,헤비 그런트,Heavy Grunt,Heavy Grunt,ヘビーグロントゥ,重步兵,重步兵,ronco pesada,gruñido pesado,
UNIT_016_NAME,장사정포,Long Range Artillery,Long Range Artillery,長射程砲,长程火炮,長程火砲,Artillería de largo alcance,Artillería de largo alcance,
UNIT_017_NAME,키로프,Kirov,Kirov,キーロフ,基洛夫,基洛夫,Kirov,Kirov,
UNIT_018_NAME,마린,Marine,Marine,マリン,海洋,海洋,Marina,Marina,
UNIT_019_NAME,드레드 노트,Dreadnaught,Dreadnaught,ドレッドノート,无畏,無畏,dreadnaught,dreadnaught,
UNIT_020_NAME,전투 순양함,Battle Ship,Battle Ship,戦闘巡洋艦,战舰,戰艦,nave de batalla,nave de batalla,
UNIT_021_NAME,저격수,Pathfinder,Pathfinder,狙撃,开创者,開創者,Pionero,Pionero,
UNIT_022_NAME,ACU,Armored unit,Armored unit,手袋ユニット,装甲部队,裝甲部隊,unidad blindada,unidad armada,
UNIT_023_NAME,항공모함,Carrier,Carrier,空母,支架,支架,Portador,Portador,
UNIT_024_NAME,둠가이,Doomguy,Doomguy,ドゥームこの,末日家伙,末日傢伙,chico de doom,chico de doom,
UNIT_025_NAME,타이탄,Titan,Titan,タイタン,泰坦,泰坦,Titán,Titán,
UNIT_026_NAME,모선,Mother Ship,Mother Ship,母船,母船,母船,nave madre,nave madre,
,,,,,,,,,
ARTIFACT_000_NAME,가스 큐브,Gas Cube,Gas Cube,ガスキューブ,天然气立方,天然氣立方,Cubo de gas,Cubo de gas,
ARTIFACT_001_NAME,임프가 든 병,Imp In a Jar,Imp In a Jar,インプが入った瓶,恶魔在一个罐子里,惡魔在一個罐子裡,demonio en un tarro,demonio en un tarro,
ARTIFACT_002_NAME,골렘의 꼬리,Golem Tail,Golem Tail,ゴーレムの尾,傀儡尾,傀儡尾,cola Golem,cola de Golem,
ARTIFACT_003_NAME,악마의 뿔,Demon's Horn,Demon's Horn,悪魔の角,恶魔的号角,惡魔的號角,Cuerno de demonio,Cuerno de demonio,
ARTIFACT_004_NAME,미네랄 뿌리,Mineral Root,Mineral Root,ミネラル根,矿产根,礦產根,raíz minerales,Raíz mineral,
ARTIFACT_005_NAME,돼지 저금통,Piggy Bank,Piggy Bank,貯金箱,储蓄罐,儲蓄罐,Hucha,Hucha,
ARTIFACT_006_NAME,요정의 날개,Fairy Wing,Fairy Wing,妖精の翼,童话永,童話永,Hada del ala,Ala de hada,
ARTIFACT_007_NAME,식칼,Kitchen knife,Kitchen knife,包丁,菜刀,菜刀,Cuchillo de cocina,Cuchillo de cocina,
ARTIFACT_008_NAME,고슴도치,Hedgehog,Hedgehog,ハリネズミ,猬,猬,Erizo,Erizo,
ARTIFACT_009_NAME,성게,Sea urchin,Sea urchin,ウニ,海胆,海膽,Erizo de mar,Erizo de mar,
ARTIFACT_010_NAME,꼬치구이,BBQ,BBQ,串焼き,BBQ,BBQ,barbacoa,barbacoa,
ARTIFACT_011_NAME,유황,Brimstone,Brimstone,硫黄,硫磺,硫磺,Azufre,Azufre,
ARTIFACT_012_NAME,휘발유,Gasoline,Gasoline,ガソリン,汽油,汽油,Gasolina,Gasolina,
ARTIFACT_013_NAME,토르 망치,Thor Hammer,Thor Hammer,トールハンマー,雷神锤,雷神錘,Martillo de Thor,Martillo de Thor,
ARTIFACT_014_NAME,오벨리스크,Obelisk,Obelisk,オベリスク,方尖碑,方尖碑,Obelisco,Obelisco,
ARTIFACT_015_NAME,별,Star,Star,別,星,星,Estrella,Estrella,
ARTIFACT_016_NAME,불면증,Insomnia,Insomnia,不眠症,失眠,失眠,Insomnio,Insomnio,
ARTIFACT_017_NAME,크로우바,Crowbar,Crowbar,クロウバー,撬棒,撬棒,Palanca,Palanca,
ARTIFACT_018_NAME,피 묻은 양파,Bloody Onion,Bloody Onion,血タマネギ,血腥洋葱,血腥洋蔥,cebolla sangrienta,cebolla sangrienta,
ARTIFACT_019_NAME,과녁,Target,Target,射的,目标,目標,Objetivo,Objetivo,
ARTIFACT_020_NAME,8350면체,8350-Sided,8350-Sided,8350面体,8350单面,8350單面,8350-Sided,8350-edro,
ARTIFACT_021_NAME,TNT,TNT,TNT,TNT,TNT,TNT,TNT,TNT,
ARTIFACT_022_NAME,녹색맛 벌레,Greeny Taste Bug,Greeny Taste Bug,緑味虫,绿味昆虫,綠味昆蟲,Insecto verde Sabor,Insecto sabor verde,
ARTIFACT_023_NAME,빨간 약,Red Pill,Red Pill,赤い約,红色药丸,紅色藥丸,Red Pill,Droga roja,
ARTIFACT_024_NAME,구급 상자,First Aid,First Aid,救急箱,急救,急救,Primeros auxilios,botiquín,
ARTIFACT_025_NAME,구더기 스프,Maggot Soup,Maggot Soup,ウジスープ,蛆汤,蛆湯,sopa de gusano,sopa de gusano,
ARTIFACT_026_NAME,불타는 꼬마,Burning Boy,Burning Boy,燃えるチビ,燃烧的男孩,燃燒的男孩,Burning Boy,Chico ardiente,
ARTIFACT_027_NAME,근육 파편,Muscle Fragment,Muscle Fragment,筋肉片,肌肉片段,肌肉片段,Fragmento del músculo,Fragmento del músculo,
ARTIFACT_028_NAME,촉매,Catalyst,Catalyst,触媒,催化剂,催化劑,Catalizador,Catalizador,
ARTIFACT_029_NAME,부두인형,Voodoo,Voodoo,ブードゥー人形,巫毒,巫毒,Vudú,Vudú,
ARTIFACT_030_NAME,조약돌,Pebble,Pebble,小石,卵石,卵石,Guijarro,Guijarro,
ARTIFACT_031_NAME,신경망,Neuron,Neuron,ニューラルネットワーク,神经元,神經元,Neurona,Neurona,
ARTIFACT_032_NAME,주사위,Dice,Dice,サイコロ,骰子,骰子,Dado,Dado,
ARTIFACT_033_NAME,격납고,Hangar,Hangar,格納庫,机库,機庫,Hangar,Hangar,
ARTIFACT_034_NAME,비누,Soap,Soap,石鹸,肥皂,肥皂,Jabón,Jabón,
ARTIFACT_035_NAME,기계 폐,Machine Lung,Machine Lung,機械肺,机龙,機龍,pulmón,pulmón mecánico,
ARTIFACT_036_NAME,신비한 가면,Mystery Mask,Mystery Mask,神秘的な仮面,神秘面具,神秘面具,Máscara misterio,Máscara misterio,
ARTIFACT_037_NAME,금니,Gold Tooth,Gold Tooth,金歯,金牙,金牙,Diente de oro,Diente de oro,
ARTIFACT_038_NAME,시계,Clock,Clock,時計,时钟,時鐘,Reloj,Reloj,
ARTIFACT_039_NAME,골렘인형,Golem Doll,Golem Doll,ゴーレム人形,傀儡娃娃,傀儡娃娃,Golem muñeca,Golem muñeca,
ARTIFACT_040_NAME,쌍두,Double Head,Double Head,双頭,双头,雙頭,Cabeza doble,Cabeza doble,
ARTIFACT_041_NAME,사금,Gold Dust,Gold Dust,砂金,金粉,金粉,Polvo de oro,Polvo de oro,
ARTIFACT_042_NAME,비트코인,Bitcoin,Bitcoin,ビットコイン,比特币,比特幣,Bitcoin,Bitcoin,
ARTIFACT_043_NAME,와일드 카드,Wild Card,Wild Card,ワイルドカード,百搭卡,百搭卡,Wild Card,comodín,
ARTIFACT_044_NAME,떡락코인,Bearish,Bearish,トクラクコイン,看空,看空,Osuno,Osuno,
ARTIFACT_045_NAME,도박칩,Gambler Coin,Gambler Coin,ギャンブルチップ,赌徒硬币,賭徒硬幣,Coin Gambler,Ficha,
ARTIFACT_046_NAME,의식용 칼,Ceremonial Dagger,Ceremonial Dagger,儀式用のナイフ,仪式匕首,儀式匕首,Daga ceremonial,Daga ceremonial,
ARTIFACT_047_NAME,,,,,,,,,
ARTIFACT_048_NAME,,,,,,,,,
ARTIFACT_049_NAME,,,,,,,,,
,,,,,,,,,
ARTIFACT_NAME_DIABLO_000,디아블로의 갑피,Diablo Carapace,Diablo Carapace,ディアブロの甲革,暗黑破坏神甲壳,暗黑破壞神甲殼,Diablo Caparazón,Caparazón Diablo,
ARTIFACT_NAME_DIABLO_001,디아블로의 이빨,Diablo Tooth,Diablo Tooth,ディアブロの歯,暗黑破坏神牙,暗黑破壞神牙,diente Diablo,diente Diablo,
ARTIFACT_NAME_DIABLO_002,디아블로의 뇌,Diablo Brain,Diablo Brain,ディアブロの脳,暗黑破坏神脑,暗黑破壞神腦,cerebro Diablo,cerebro Diablo,
ARTIFACT_NAME_DIABLO_003,디아블로의 뿔,Diablo Horn,Diablo Horn,ディアブロの角,暗黑破坏神号角,暗黑破壞神號角,Diablo Cuerno,Cuerno Diablo,
ARTIFACT_NAME_DIABLO_004,디아블로의 눈,Diablo Eye,Diablo Eye,ディアブロの雪,暗黑破坏神眼,暗黑破壞神眼,Diablo de ojos,Ojos Diablo,
ARTIFACT_NAME_DIABLO_005,디아블로의 심장,Diablo Heart,Diablo Heart,ディアブロの心臓,暗黑破坏神心,暗黑破壞神心,corazón Diablo,corazón Diablo,
ARTIFACT_NAME_DIABLO_006,디아블로의 발톱,Diablo Claw,Diablo Claw,ディアブロの爪,暗黑破坏神爪,暗黑破壞神爪,Diablo garra,garra Diablo,
ARTIFACT_NAME_DIABLO_007,디아블로의 태아,Diablo Fetus,Diablo Fetus,ディアブロの胎児,暗黑破坏神胎儿,暗黑破壞神胎兒,Diablo Feto,Feto Diablo,
ARTIFACT_NAME_DIABLO_008,디아블로의 혀,Diablo Tongue,Diablo Tongue,ディアブロの舌,暗黑破坏神舌,暗黑破壞神舌,lengua Diablo,lengua Diablo,
ARTIFACT_NAME_DIABLO_009,디아블로의 간,Diablo liver,Diablo liver,ディアブロの間,暗黑破坏神肝,暗黑破壞神肝,hígado Diablo,hígado Diablo,
,,,,,,,,,
UPGRADE,업그레이드,Upgrade,Upgrade,アップグレード,升级,升級,Mejorar,Mejorar,
MAKEARTIFACT,유물 제작,Create Artifact,Create Artifact,遺物製作,创建神器,創建神器,crear Artefacto,crear Artefacto,
TIERUP,승급,Promotion,Promotion,アップグレード,提升,提升,Promoción,Promoción,
,,,,,,,,,
STATUS_000_NAME_A,,,,,,,,,
STATUS_001_NAME_A,전체 가스 획득량,Gas,Gas,全ガス獲得量,加油站,加油站,Gas,Gas,
STATUS_002_NAME_A,일반 미네랄 획득량,Non-Boss Mineral,Non-Boss Mineral,一般ミネラル獲得量,非矿老板,非礦老闆,No-Boss Mineral,Mineral de No-Boss,
STATUS_003_NAME_A,골렘 미네랄 획득량,Golem Mineral,Golem Mineral,ゴーレムミネラル獲得量,傀儡矿产,傀儡礦產,Golem Mineral,Mineral de Golem,
STATUS_004_NAME_A,보스 미네랄 획득량,Boss Mineral,Boss Mineral,ボスミネラル獲得量,矿老板,礦老闆,jefe Mineral,Mineral de Jefe,
STATUS_005_NAME_A,전체 미네랄 획득량,All Mineral,All Mineral,全ミネラル獲得量,所有矿产,所有礦產,Todo Mineral,Todo Mineral,
STATUS_006_NAME_A,미접속시 미네랄,Offline Mineral,Offline Mineral,未接続時のミネラル,离线矿产,離線礦產,Desconectado Mineral,Mineral Desconectado,
STATUS_007_NAME_A,박스 요정 미네랄,Fairy Mineral,Fairy Mineral,ボックス妖精ミネラル,仙女矿产,仙女礦產,Hada Mineral,Mineral de Hada,
STATUS_008_NAME_A,바주카 대미지,Launcher Dmg,Launcher Damage,バズーカダメージ,发射伤害,發射傷害,daños lanzador,Lanzador Daño,
STATUS_009_NAME_A,바주카 치명타 확률,Launcher Crit Rate,Launcher Crit Rate,バズーカクリティカル確率,启动暴击率,啟動暴擊率,Lanzador Crit Rate,Lanzador Crit Proba,
STATUS_010_NAME_A,바주카 치명타 대미지,Launcher Crit Dmg,Launcher Crit Dmg,バズーカクリティカルダメージ,启动暴击伤害,啟動暴擊傷害,Lanzador Crit Dmg,Lanzador Crit Daño,
STATUS_011_NAME_A,유닛대미지 ▶ Launcher,Unit Dmg ▶ Launcher,Unit Damage ▶ Launcher,ユニットダメージ▶Launcher,设备损坏▶启动,設備損壞▶啟動,Daño unitario ▶ Misiles,Daño unitario ▶ Lanzador,
STATUS_012_NAME_A,현재 유닛 대미지,Unit Dmg,Unit Damage,現在のユニットダメージ,设备损坏,設備損壞,daños unidad,Unidad Daño,
STATUS_013_NAME_A,현재 유닛 치명타 확률,Unit Critical Rate,Unit Critical Rate,現在のユニットクリティカル確率,单位临界速率,單位臨界速率,Unidad Critical Rate,Unidad Crit Proba,
STATUS_014_NAME_A,보병 유닛 대미지,Infantry Dmg,Infantry Damage,歩兵ユニットダメージ,步兵伤害,步兵傷害,El daño de infantería,Daño de infantería,
STATUS_015_NAME_A,장갑 유닛 대미지,Armor Dmg,Armor Damage,手袋ユニットダメージ,装甲伤害,裝甲傷害,daños armadura,daño armaduro,
STATUS_016_NAME_A,공중 유닛 대미지,Air Dmg,Air Damage,空中ユニットダメージ,气损,氣損,Los daños de aire,Daño de aire,
STATUS_017_NAME_A,모든 유닛 대미지,All Unit Dmg,All Unit Damage,すべてのユニットのダメージ,所有设备损坏,所有設備損壞,Todo el daño Unidad,Daño de Toda Unidad,
STATUS_018_NAME_A,보유한 유물당 대미지,Dmg per Artifact,Damage per Artifact,保有している遺物当たりダメージ,每神器伤害,每神器傷害,Daño por Artefacto,Daño por Artefacto,
STATUS_019_NAME_A,보유한 업적당 대미지,Dmg per Achievement,Damage per Achievement,保有している業績当ダメージ,每个成就伤害,每個成就傷害,Daño por Logro,Daño por Logro,
STATUS_020_NAME_A,모든 대미지,All Dmg,All Damage,すべてのダメージ,所有伤害,所有傷害,Todo el daño,Todo el daño,
STATUS_021_NAME_A,일반 상대 대미지,Non-Boss Dmg,Non-Boss Damage,一般相対ダメージ,非损伤老板,非損傷老闆,No-Boss daños,Daño contra No-Boss,
STATUS_022_NAME_A,보스 상대 대미지,Boss Dmg,Boss Damage,ボス相手ダメージ,老板伤害,老闆傷害,daños jefe,Daño contra Jefe,
STATUS_023_NAME_A,골렘 상대 대미지,Golem Dmg,Golem Damage,ゴーレム相手ダメージ,傀儡伤害,傀儡傷害,daños Golem,Daño contra Golem,
STATUS_024_NAME_A,크고 아름다운 미사일 효과,Big Beautiful Missile Effect,Big Beautiful Missile Effect,大きな美しいミサイルの効果,大美女导弹效应,大美女導彈效應,Gran bonito efecto de misiles,Efecto de Misil Gran y hermoso,
STATUS_025_NAME_A,융단폭격 효과,Corpse Rooting Effect,Corpse Rooting Effect,絨毯爆撃の効果,尸体生根效果,屍體生根效果,Efecto cadáver de enraizamiento,Efecto de bombardeo por saturación,
STATUS_026_NAME_A,양손 재블린 효과,Massive Bombard Effect,Massive Bombard Effect,両手ジャベリン対効果,大规模炮击的影响,大規模砲擊的影響,Efecto masiva Bombard,Efecto de bombarda masiva,
STATUS_027_NAME_A,약물 중독자 효과,Dual Javelin Effect ,Dual Javelin Effect ,薬物中毒の効果,双标枪影响,雙標槍影響,Doble Efecto Javelin,Doble Javelin Efecto,
STATUS_028_NAME_A,전쟁의 함성 효과,War Cry Effect,War Cry Effect,戦争の歓声の効果,战争惊魂影响,戰爭驚魂影響,Efecto Guerra Cry,Efecto de Grito Guerra,
STATUS_029_NAME_A,시체 줍기 효과,Drug Junkie Effect,Drug Junkie Effect,死体拾い効果,药物吸毒者的影响,藥物吸毒者的影響,Drogadicto del efecto del fármaco,Efecto de Tomar cadáver,
STATUS_030_NAME_A,융단폭격 지속시간,Massive Bombard Duration,Massive Bombard Duration,絨毯爆撃持続時間,大规模炮击持续时间,大規模砲擊持續時間,Duración masiva Bombard,Duración de bombardeo,
STATUS_031_NAME_A,양손 재블린 지속시간,Dual Javelin Duration,Dual Javelin Duration,両手ジャベリン対持続時間,双标枪时间,雙標槍時間,Duración de doble Javelin,Duración de doble Javelin,
STATUS_032_NAME_A,약물 중독자 지속시간,Drug Junkie Duration,Drug Junkie Duration,薬物中毒者持続時間,药物吸毒者持续时间,藥物吸毒者持續時間,Duración del drogadicto drogas,Duración de colgado,
STATUS_033_NAME_A,전쟁의 함성 지속시간,War Cry Duration,War Cry Duration,戦争の叫び持続時間,战争惊魂时间,戰爭驚魂時間,War Cry Duración,Duración de Grito Guerra,
STATUS_034_NAME_A,시체 줍기 지속시간,Corpse Rooting Duration,Corpse Rooting Duration,死体拾い持続時間,尸体生根时间,屍體生根時間,Duración cadáver de enraizamiento,Duración de Tomar cadáver,
STATUS_035_NAME_A,모든 스킬 지속시간,All Skill Duration,All Skill Duration,すべてのスキル持続時間,所有技能持续时间,所有技能持續時間,Todo Habilidad Duración,Duración de todos artes,
STATUS_036_NAME_A,크.아.미 쿨타임,Big Beautiful Missile Cool time,Big Beautiful Missile Cool time,ク。ああ米クールタイム,大美女导弹的冷却时间,大美女導彈的冷卻時間,Hermoso grande del misil tiempo frío,Tiempo Frío de Misil gran y hermoso,
STATUS_037_NAME_A,융단폭격 쿨타임,Massive Bombard Cool time,Massive Bombard Cool time,絨毯爆撃クールタイム,大规模炮击冷却时间,大規模砲擊冷卻時間,Tiempo de enfriamiento masivo Bombard,Tiempo Frío de bombardeo,
STATUS_038_NAME_A,양손 재블린 쿨타임,Dual Javelin Cool time,Dual Javelin Cool time,両手ジャベリン対クールタイム,双标枪冷却时间,雙標槍冷卻時間,Dual Javelin tiempo frío,Tiempo Frío de doble Javelin,
STATUS_039_NAME_A,약물 중독자 쿨타임,Drug Junkie Cool time,Drug Junkie Cool time,薬物中毒クールタイム,药物吸毒者冷却时间,藥物吸毒者冷卻時間,Drogas del drogadicto tiempo frío,Tiempo Frío de colgado,
STATUS_040_NAME_A,전쟁의 함성 쿨타임,War Cry Cool time,War Cry Cool time,戦争の叫びクールタイム,战争惊魂冷却时间,戰爭驚魂冷卻時間,War Cry tiempo frío,Tiempo Frío de Grito Guerra,
STATUS_041_NAME_A,시체 줍기 쿨타임,Corpse Rooting Cool time,Corpse Rooting Cool time,死体拾いクールタイム,尸体生根冷却时间,屍體生根冷卻時間,Tiempo de enfriamiento cadáver de enraizamiento,Tiempo Frío de Tomar cadáver,
STATUS_042_NAME_A,모든 스킬 쿨타임,All Skill Cool time,All Skill Cool time,すべてのスキルクールタイム,所有技能的冷却时间,所有技能的冷卻時間,Todo Habilidad Tiempo de enfriamiento,Tiempo Frío de todos artes,
STATUS_043_NAME_A,골렘 등장 확률,Golem Spawn Chance,Golem Spawn Chance,ゴーレム登場確率,傀儡产卵机会,傀儡產卵機會,Golem freza Probabilidad,Probabilidad de Golem,
STATUS_044_NAME_A,쌍둥이 박스 요정 등장 확률,Double Fairy Chance,Double Fairy Chance,双子ボックス妖精登場確率,双仙机会,雙仙機會,Doble Hada Probabilidad,Probabilidad de Doble Hada,
STATUS_045_NAME_A,황금 미네랄 등장 확률,Golden Mineral Chance,Golden Mineral Chance,黄金ミネラル登場確率,黄金矿产机会,黃金礦產機會,Posibilidad de oro Mineral,Probabilidad de Mineral de oro,
STATUS_046_NAME_A,유닛 강화 비용,Unit Upgrade Cost,Unit Upgrade Cost,ユニット強化費用,单位升级成本,單位升級成本,Unidad de actualización de costes,Coste de fortalezar Unidad,
STATUS_047_NAME_A,유닛 강화 비용 무효화 확률,Unit Free Upgrade Chance,Free Unit Chance,ユニット強化費用無効確率,单位免费升级机会,單位免費升級機會,Posibilidad libre Unidad,Posibilidad libre Unidad,
STATUS_048_NAME_A,바주카 강화 비용,Launcher Upgrade Cost,Launcher Upgrade Cost,バズーカ強化費用,启动升级成本,啟動升級成本,Lanzador Costo de actualización,Coste de fortalezar Lanzador,
STATUS_049_NAME_A,바주카 강화 비용 무효화 확률,Launcher Free Upgrade Chance,Free Launcher Chance,バズーカ強化費用無効確率,启动免费升级机会,啟動免費升級機會,Posibilidad libre Launcher,Posibilidad libre Launcher,
STATUS_050_NAME_A,포탈 체력,Portal Health,Portal Health,ポータル体力,门户网站健康,門戶網站健康,portal de la Salud,Salud del Portal,
STATUS_051_NAME_A,보스 처치 시,Skip,Skip,ボス処置時,跳跃,跳躍,Omitir,Omitir,
STATUS_052_NAME_A,박스어미 터치시 획득 우라늄 1~,Queen Fairy gives Uranium 1~,Queen Fairy gives Uranium 1~,ボックス語尾タッチ時に獲得ウラン1〜,女王童话给人铀1〜,女王童話給人鈾1〜,Reina de las Hadas da Uranio 1 ~,Reina de las Hadas da Uranio 1 ~,
STATUS_053_NAME_A,드랍포트 사용시 이동거리 보존,Dropport Save Distance,Dropport Save Distance,ドロップポート使用時の移動距離保存,撤销端口保存距离,撤銷端口保存距離,Dropport Guardar Distancia,Dropport Guardar Distancia,
STATUS_054_NAME_A,박스요정 터치시 폭죽,Touch Fairy to fire,Touch Fairy to fire,ボックス妖精タッチ時爆竹,触摸仙女火,觸摸仙女火,Toque Hada al fuego,Toque Hada por el fuego,
STATUS_055_NAME_A,장교 진급 허용,Officer Available,Officer Available,将校進級許可,官可用,官可用,oficial Disponible,oficial Disponible,
STATUS_056_NAME_A,장군 진급 허용,General Available,General Available,将軍進級許可,一般可用,一般可用,Disponible en general,general Disponible,
STATUS_057_NAME_A,현재 적의 숫자당 대미지,Dmg per Enemy Number,Damage per Enemy Number,現在敵の数ごとにダメージ,每个敌人数量损伤,每個敵人數量損傷,Daño por el enemigo número,Daño por el enemigo número,
STATUS_058_NAME_A,유물 대미지,Artifact Dmg,Relic Damage,遺物ダメージ,破坏文物,破壞文物,daños Relic,daños de reliquia,
STATUS_059_NAME_A,추가 발사에 필요한 발사 횟수,Free Missile at,Launch Additional Missile at,追加発射に必要な発射回数,启动在其他导弹,啟動在其他導彈,Lanzamiento de un misil adicional en,Lanzamiento nececitado por misiles adicionales,
STATUS_060_NAME_A,스팀팩 1% 충전에 필요한 발사 횟수,Charge 1% Stimpack at,Charge 1% Stimpack at,秒[-]の間に、無条件クリティカルが発生する[FFA83A]ドーピングを使用しクリティカルダメージが,收取每1％的兴奋剂,收取每1％的興奮劑,Cargar 1% Estimulante en cada,Lanzamiento nececitado para cargar 1% Estimulante,
STATUS_061_NAME_A,폭죽 5개 발사에 필요한 발사 횟수 (x),Fire 5 Firecracker at,Fire 5 Firecracker at,爆竹5つの打ち上げに必要な発射回数（x）,消防5爆竹在,消防5爆竹在,Fuego 5 petardo en,Fuego 5 petardo en,
STATUS_062_NAME_A,스팀팩 유지 시간,Stimpack Duration,Stimpack Duration,ドーピング保持時間,兴奋剂时间,興奮劑時間,Duración estimulante,Duración estimulante,
STATUS_063_NAME_A,스팀팩 터치 요구치,Stimpack Charge Req,Stimpack Charge Requirement,ドーピング保持時間,兴奋剂充电需求,興奮劑充電需求,Requisito estimulante de carga,Requisito estimulante de carga,
STATUS_064_NAME_A,보스 처치 시 미네랄 이자,Killing Boss gives Mineral Interest,Killing Boss gives Mineral Interest,ボス処置時のミネラルであり、,杀死老板给矿产利益,殺死老闆給礦產利益,Matar jefe da Mineral interés,Matar jefe da Mineral interés,
STATUS_065_NAME_A,크.아.미 발사에 필요한 발사 횟수,Fire B.B.M at,Fire B.B.M at,ク。ああ米発射に必要な発射回数,消防B.B.M在,消防B.B.M在,B.B.M incendio en,Lanzamiento nececitado por M.G.H,
STATUS_066_NAME_A,체력 20% 미만 즉사 확률,Instant Kill Chance,Instant Kill Chance,体力20％未満即死確率,瞬杀机会,瞬殺機會,Posibilidad de muertes instantánea,Posibilidad de muertes instantánea,
STATUS_067_NAME_A,,,,,,,,,
STATUS_068_NAME_A,보스 처치 시 지옥석 획득,Killing Boss gives Hellstone,Killing Boss gives Hellstone,ボス処置時地獄席獲得,杀死老板给地狱石,殺死老闆給地獄石,Matar jefe da piedra Infierno,Matar jefe da piedra Infierno,
STATUS_069_NAME_A,미사일 관통 확률,Penetration Chance,Penetration Chance,ミサイル貫通確率,渗透机会,滲透機會,Posibilidad de penetración,Posibilidad de penetración,
STATUS_070_NAME_A,크.아.미 버스트,B.B.M Burst,B.B.M Burst,ク。ああ米バースト,B.B.M突发,B.B.M突發,Ráfaga B.B.M,Ráfaga de misil gran y hermoso,
STATUS_071_NAME_A,양손 바주카 버스트,Dual Javelin Burst,Dual Javelin Burst,両手バズーカバースト,双标枪突发,雙標槍突發,Ráfaga de doble Javelin,Ráfaga de doble Javelin,
STATUS_072_NAME_A,현재 유닛 공격 속도,Unit Attack SPD,Unit Attack speed,現在のユニットの攻撃速度,单位攻击速度,單位攻擊速度,Velocidad de unidades Ataque,Velocidad de unidades Ataque,
STATUS_073_NAME_A,포탈 상대 대미지,Portal Dmg,Portal Damage,ポータル相手ダメージ,门户伤害,門戶傷害,daños portal,daños portales,
STATUS_074_NAME_A,,,,,,,,,
STATUS_075_NAME_A,모든 지옥석 보상,Hellstone Reward,Hellstone Reward,すべての地獄席補償,地狱石奖励,地獄石獎勵,Infierno Recompensa piedra,Recompensa de Infierno piedra,
STATUS_076_NAME_A,스팀팩 종료시 폭죽,On final Stimpack Fire,On final Stimpack Fire,ドーピング終了時爆竹,在最后的兴奋剂火,在最後的興奮劑火,En definitiva Estimulante Fuego,"En final de Estimulante, Fuego",
STATUS_077_NAME_A,모든 대미지,All Dmg,All Damage,すべてのダメージ,所有伤害,所有傷害,Todo el daño,Todo el daño,
STATUS_078_NAME_A,포탈 조각 두배 확률,Double Portal Shard Chance,Double Portal Shard Chance,ポータル彫刻倍増確率,双门碎片机会,雙門碎片機會,Doble Portal Fragmento Probabilidad,Doble Probabilidad de Portal Fragmento,
STATUS_079_NAME_A,모든 포탈 조각 효과,All Portal Shard Effect,All Portal Shard Effect,すべてのポータルの部分の効果,所有门户碎片的影响,所有門戶碎片的影響,Taringa Fragmento Efecto,Efecto de todo Portal Fragmento,
STATUS_080_NAME_A,모든 지옥석 보상,Hellstone Reward,Hellstone Reward,すべての地獄席補償,地狱石奖励,地獄石獎勵,Infierno Recompensa piedra,Recompensa de Infierno piedra,
STATUS_081_NAME_A,보스 체력,Boss Health,Boss Health,ボスの体力,老板健康,老闆健康,jefe Salud,Salud de Jefe,
STATUS_082_NAME_A,일반 등급 미사일 강화비용,Normal Missile Upgrade Cost,Normal Missile Upgrade Cost,一般評価ミサイル強化費用,常规导弹升级成本,常規導彈升級成本,El costo normal de actualización de misiles,Coste de fortalezar Misil normal,
STATUS_083_NAME_A,희귀 등급 미사일 강화비용,Rare Missile Upgrade Cost,Rare Missile Upgrade Cost,レア等級ミサイル強化費用,罕见的导弹升级成本,罕見的導彈升級成本,Rara costo de la actualización del misil,Coste de fortalezar Misil Raro,
STATUS_084_NAME_A,마법 등급 미사일 강화비용,Magic Missile Upgrade Cost,Magic Missile Upgrade Cost,魔法の評価ミサイル強化費用,魔法飞弹升级成本,魔法飛彈升級成本,Misil mágico Costo de actualización,Coste de fortalezar Misil mágico,
STATUS_085_NAME_A,영웅 등급 미사일 강화비용,Heroic Missile Upgrade Cost,Heroic Missile Upgrade Cost,ヒーロー等級ミサイル強化費用,英雄导弹升级成本,英雄導彈升級成本,Heroica misiles Costo de actualización,Coste de fortalezar misil Heroico,
